SKU,Produto,Quantidade Vendida,Primeiro Nome,Sobrenome,Data,Loja,Preco Unitario,faturamento
HL9962,Android,3,Gustavo,Junior,2018-02-23,Belo Horizonte,3400,10200
HL1148,Câmera,2,Célio,Xavier,2018-06-06,Belo Horizonte,2100,4200
HL2714,Tablet,4,Diego,Rodrigues,2018-10-13,Belo Horizonte,1600,6400
HL1148,Câmera,5,Guilherme,Monteiro,2018-05-18,Belo Horizonte,2100,10500
HL1148,Câmera,1,Anderson,Martins,2018-04-22,Belo Horizonte,2100,2100
HL9962,Android,1,Júlia,Almeida,2018-12-06,Belo Horizonte,3400,3400
HL2714,Tablet,2,Carolina,Motta,2018-08-06,Belo Horizonte,1600,3200
HL9962,Android,5,Bernardo,Nauenberg,2018-02-21,Belo Horizonte,3400,17000
HL4379,Televisão,4,Giuseppe,Bhering,2018-05-13,Belo Horizonte,2500,10000
HL2714,Tablet,3,Chan,Santos,2018-06-20,Belo Horizonte,1600,4800
HL1918,iPhone,2,Rafaela,Ferreira,2018-09-14,Belo Horizonte,5300,10600
HL8851,Notebook,5,Erick,Soares,2018-12-08,Belo Horizonte,3500,17500
HL8851,Notebook,5,Jéssica,Resinente,2018-05-08,Belo Horizonte,3500,17500
HL9962,Android,2,Hanna,Fonseca,2018-11-16,Belo Horizonte,3400,6800
HL8851,Notebook,3,Carolina,Carneiro,2018-03-19,Belo Horizonte,3500,10500
HL1918,iPhone,2,Mariane,Racy,2018-06-08,Belo Horizonte,5300,10600
HL2714,Tablet,3,Deysiane,Bach,2018-05-15,Belo Horizonte,1600,4800
HL1148,Câmera,5,Thales,Portillo,2018-01-29,Belo Horizonte,2100,10500
HL7348,SmartWatch,5,Rafael,Ramos,2018-01-30,Belo Horizonte,1400,7000
HL4379,Televisão,3,Gabriella,Sagrillo,2018-01-13,Belo Horizonte,2500,7500
HL1148,Câmera,1,João,Tabet,2018-11-02,Belo Horizonte,2100,2100
HL1148,Câmera,5,Juliana,Huon,2018-10-18,Belo Horizonte,2100,10500
HL7348,SmartWatch,5,Mariana,Barrozo,2018-06-15,Belo Horizonte,1400,7000
HL1148,Câmera,2,Gabriel,Pereira,2018-01-30,Belo Horizonte,2100,4200
HL1148,Câmera,2,Carlos,Souza,2018-05-26,Belo Horizonte,2100,4200
HL4379,Televisão,2,Thomáz,Bôas,2018-06-30,Belo Horizonte,2500,5000
HL1918,iPhone,4,Pedro,Rodrigues,2018-02-17,Belo Horizonte,5300,21200
HL9962,Android,2,Rafael,Carneiro,2018-10-06,Belo Horizonte,3400,6800
HL2714,Tablet,2,Marina,Delgado,2018-08-11,Belo Horizonte,1600,3200
HL4379,Televisão,2,Rachel,Restum,2018-09-03,Belo Horizonte,2500,5000
HL1918,iPhone,3,Luiza,Cabral,2018-02-18,Belo Horizonte,5300,15900
HL4379,Televisão,5,Caio,Fernandes,2018-08-13,Belo Horizonte,2500,12500
HL9962,Android,2,Mariana,Barrozo,2018-04-17,Belo Horizonte,3400,6800
HL1918,iPhone,1,Gabriel,Almeida,2018-06-26,Belo Horizonte,5300,5300
HL7348,SmartWatch,2,Marcelo,Borges,2018-09-10,Belo Horizonte,1400,2800
HL1918,iPhone,3,Maria,Costa,2018-08-15,Belo Horizonte,5300,15900
HL9962,Android,1,Marcos,Nucci,2018-07-17,Belo Horizonte,3400,3400
HL4379,Televisão,4,Juliana,Guimarães,2018-10-06,Belo Horizonte,2500,10000
HL1918,iPhone,4,Jessica,Ferreira,2018-07-13,Belo Horizonte,5300,21200
HL1918,iPhone,1,Iuri,Neto,2018-07-04,Belo Horizonte,5300,5300
HL8851,Notebook,1,Breno,Britto,2018-09-14,Belo Horizonte,3500,3500
HL1148,Câmera,1,Maria,Motta,2018-09-20,Belo Horizonte,2100,2100
HL1148,Câmera,1,Larissa,Jesus,2018-06-13,Belo Horizonte,2100,2100
HL2714,Tablet,2,Gabriel,Azevedo,2018-05-28,Belo Horizonte,1600,3200
HL1148,Câmera,3,Pedro,Cardoso,2018-11-23,Belo Horizonte,2100,6300
HL7348,SmartWatch,2,Raul,Silveira,2018-01-06,Belo Horizonte,1400,2800
HL1148,Câmera,5,Eduardo,Silva,2018-12-10,Belo Horizonte,2100,10500
HL1918,iPhone,2,Henrique,Oliveira,2018-05-21,Belo Horizonte,5300,10600
HL1918,iPhone,1,João,Tabet,2018-06-30,Belo Horizonte,5300,5300
HL1918,iPhone,1,Luana,Santos,2018-10-24,Belo Horizonte,5300,5300
HL9962,Android,2,Michelle,Miura,2018-05-02,Belo Horizonte,3400,6800
HL9962,Android,4,Manuela,Ferreira,2018-04-13,Belo Horizonte,3400,13600
HL4379,Televisão,2,Roger,Rosa,2018-10-12,Belo Horizonte,2500,5000
HL1918,iPhone,4,Caroline,Cavalcanti,2018-05-14,Belo Horizonte,5300,21200
HL7348,SmartWatch,5,Mariane,Ferreira,2018-08-22,Belo Horizonte,1400,7000
HL4379,Televisão,5,Thales,Fanara,2018-09-18,Belo Horizonte,2500,12500
HL9962,Android,3,Jessica,Ferreira,2018-11-12,Belo Horizonte,3400,10200
HL7348,SmartWatch,2,Allan,Candido,2018-05-20,Belo Horizonte,1400,2800
HL9962,Android,5,Rodrigo,Bruno,2018-12-04,Belo Horizonte,3400,17000
HL4379,Televisão,4,Maria,Junior,2018-01-21,Belo Horizonte,2500,10000
HL1918,iPhone,1,Pedro,Dalforne,2018-08-07,Belo Horizonte,5300,5300
HL1918,iPhone,1,Gabriel,Rocha,2018-05-29,Belo Horizonte,5300,5300
HL8851,Notebook,1,Cícero,Lima,2018-04-13,Belo Horizonte,3500,3500
HL1148,Câmera,2,Victoria,Tavares,2018-09-27,Belo Horizonte,2100,4200
HL4379,Televisão,1,Matheus,Moraes,2018-02-07,Belo Horizonte,2500,2500
HL9962,Android,2,Eric,Neves,2018-03-09,Belo Horizonte,3400,6800
HL4379,Televisão,5,João,Araujo,2018-03-17,Belo Horizonte,2500,12500
HL1918,iPhone,1,Debora,Silva,2018-12-09,Belo Horizonte,5300,5300
HL7348,SmartWatch,4,Lucas,Wanderley,2018-12-12,Belo Horizonte,1400,5600
HL9962,Android,2,Raul,Junqueira,2018-11-10,Belo Horizonte,3400,6800
HL4379,Televisão,3,Victoria,Mazza,2018-12-27,Belo Horizonte,2500,7500
HL8851,Notebook,4,Livia,Cozendey,2018-07-08,Belo Horizonte,3500,14000
HL1918,iPhone,5,Larissa,Vasconcellos,2018-12-22,Belo Horizonte,5300,26500
HL4379,Televisão,1,Caio,Moraes,2018-06-27,Belo Horizonte,2500,2500
HL8851,Notebook,5,Bárbara,Lima,2018-08-02,Belo Horizonte,3500,17500
HL1918,iPhone,5,Caio,Vianna,2018-09-07,Belo Horizonte,5300,26500
HL7348,SmartWatch,1,Daniel,Monteiro,2018-05-23,Belo Horizonte,1400,1400
HL9962,Android,1,José,Vieira,2018-10-30,Belo Horizonte,3400,3400
HL2714,Tablet,2,Caroline,Delgado,2018-10-05,Belo Horizonte,1600,3200
HL4379,Televisão,1,Bernardo,Ribeiro,2018-12-03,Belo Horizonte,2500,2500
HL1918,iPhone,1,Guilherme,Rachide,2018-04-25,Belo Horizonte,5300,5300
HL9962,Android,1,Vitor,Arruda,2018-10-22,Belo Horizonte,3400,3400
HL1918,iPhone,4,Daniela,Rosa,2018-04-05,Belo Horizonte,5300,21200
HL9962,Android,2,Gustavo,Accardo,2018-08-15,Belo Horizonte,3400,6800
HL7348,SmartWatch,4,Breno,Caputo,2018-06-13,Belo Horizonte,1400,5600
HL7348,SmartWatch,1,Norman,Jimbo,2018-04-07,Belo Horizonte,1400,1400
HL8851,Notebook,3,Yasmim,Bittencourt,2018-10-21,Belo Horizonte,3500,10500
HL8851,Notebook,5,Andreza,Ramos,2018-06-15,Belo Horizonte,3500,17500
HL7348,SmartWatch,3,Luiza,Cabral,2018-07-30,Belo Horizonte,1400,4200
HL1918,iPhone,5,Marina,Miranda,2018-08-10,Belo Horizonte,5300,26500
HL9962,Android,5,Douglas,Rodrigues,2018-08-17,Belo Horizonte,3400,17000
HL1918,iPhone,5,Pedro,Oliveira,2018-11-28,Belo Horizonte,5300,26500
HL2714,Tablet,2,Caio,Ferreira,2018-06-30,Belo Horizonte,1600,3200
HL8851,Notebook,4,Raul,Silveira,2018-01-27,Belo Horizonte,3500,14000
HL2714,Tablet,4,Luiza,Ribeiro,2018-02-12,Belo Horizonte,1600,6400
HL1918,iPhone,4,Jônatas,Castro,2018-02-02,Belo Horizonte,5300,21200
HL8851,Notebook,1,Camila,Sobral,2018-08-06,Belo Horizonte,3500,3500
HL4379,Televisão,2,Isabela,Chagas,2018-07-28,Belo Horizonte,2500,5000
HL1918,iPhone,1,Arthur,Pereira,2018-07-22,Belo Horizonte,5300,5300
HL9962,Android,3,Jéssica,Stefanelli,2018-02-03,Belo Horizonte,3400,10200
HL2714,Tablet,2,Carolina,Bernardes,2018-07-15,Belo Horizonte,1600,3200
HL4379,Televisão,1,Mateus,Duque,2018-09-09,Belo Horizonte,2500,2500
HL4379,Televisão,4,Marcelo,Magalhães,2018-12-02,Belo Horizonte,2500,10000
HL1148,Câmera,1,Vitor,Arruda,2018-12-16,Belo Horizonte,2100,2100
HL1918,iPhone,4,Henrique,Oliveira,2018-06-28,Belo Horizonte,5300,21200
HL4379,Televisão,2,Eduardo,Ferreira,2018-11-10,Belo Horizonte,2500,5000
HL1918,iPhone,3,Luã,Sá,2018-02-18,Belo Horizonte,5300,15900
HL1918,iPhone,5,Raphael,Coelho,2018-08-11,Belo Horizonte,5300,26500
HL2714,Tablet,2,Raíssa,Nimer,2018-03-11,Belo Horizonte,1600,3200
HL1918,iPhone,2,Philipe,Morete,2018-01-30,Belo Horizonte,5300,10600
HL2714,Tablet,1,Thaís,Pereira,2018-09-09,Belo Horizonte,1600,1600
HL1918,iPhone,4,Anna,Maia,2018-04-05,Belo Horizonte,5300,21200
HL9962,Android,3,Juliana,Guimarães,2018-04-03,Belo Horizonte,3400,10200
HL7348,SmartWatch,5,Roberta,Teixeira,2018-10-14,Belo Horizonte,1400,7000
HL8851,Notebook,5,Gabrielle,Costa,2018-08-09,Belo Horizonte,3500,17500
HL1918,iPhone,4,Fabio,Sepúlveda,2018-03-25,Belo Horizonte,5300,21200
HL2714,Tablet,2,Arthur,Fernandes,2018-04-06,Belo Horizonte,1600,3200
HL4379,Televisão,2,Livia,Codeceira,2018-04-18,Belo Horizonte,2500,5000
HL4379,Televisão,3,Isabella,Santos,2018-09-04,Belo Horizonte,2500,7500
HL4379,Televisão,1,Gabriel,Ribeiro,2018-07-29,Belo Horizonte,2500,2500
HL8851,Notebook,1,Gustavo,Aragão,2018-10-22,Belo Horizonte,3500,3500
HL1918,iPhone,3,Carolina,Silva,2018-11-24,Belo Horizonte,5300,15900
HL4379,Televisão,3,Livia,Corrêa,2018-04-11,Belo Horizonte,2500,7500
HL2714,Tablet,2,Rebeca,Manhães,2018-09-13,Belo Horizonte,1600,3200
HL7348,SmartWatch,3,Patrícia,Fernandes,2018-02-22,Belo Horizonte,1400,4200
HL1918,iPhone,4,Giuseppe,Bhering,2018-09-06,Belo Horizonte,5300,21200
HL1918,iPhone,4,Paulo,Campos,2018-04-21,Belo Horizonte,5300,21200
HL1918,iPhone,3,Lucas,Junior,2018-06-12,Belo Horizonte,5300,15900
HL2714,Tablet,4,Gustavo,Thome,2018-08-08,Belo Horizonte,1600,6400
HL4379,Televisão,5,Deysiane,Bach,2018-09-28,Belo Horizonte,2500,12500
HL9962,Android,2,Bruna,Londero,2018-01-06,Belo Horizonte,3400,6800
HL4379,Televisão,2,Juliana,Guimarães,2018-05-31,Belo Horizonte,2500,5000
HL1918,iPhone,4,Mateus,Maia,2018-03-30,Belo Horizonte,5300,21200
HL9962,Android,2,Adrielle,Vieira,2018-10-01,Belo Horizonte,3400,6800
HL1918,iPhone,4,Fernanda,Junior,2018-04-24,Belo Horizonte,5300,21200
HL1918,iPhone,1,José,Seixas,2018-10-18,Belo Horizonte,5300,5300
HL1918,iPhone,4,Rafael,Wajnsztok,2018-09-06,Belo Horizonte,5300,21200
HL4379,Televisão,5,Cícero,Ramos,2018-06-24,Belo Horizonte,2500,12500
HL1918,iPhone,5,Luiz,Campista,2018-02-11,Belo Horizonte,5300,26500
HL4379,Televisão,4,Carolina,Rocha,2018-06-05,Belo Horizonte,2500,10000
HL1918,iPhone,4,Natalia,Accioly,2018-02-20,Belo Horizonte,5300,21200
HL7348,SmartWatch,3,Philipe,Morete,2018-02-02,Belo Horizonte,1400,4200
HL4379,Televisão,1,Breno,Costa,2018-08-29,Belo Horizonte,2500,2500
HL9962,Android,1,Bruno,Temporal,2018-02-02,Belo Horizonte,3400,3400
HL9962,Android,5,Breno,Farias,2018-11-11,Belo Horizonte,3400,17000
HL9962,Android,3,Lívia,Tanaka,2018-05-11,Belo Horizonte,3400,10200
HL8851,Notebook,1,Gustavo,Accardo,2018-09-16,Belo Horizonte,3500,3500
HL9962,Android,5,Thales,Santos,2018-06-28,Belo Horizonte,3400,17000
HL4379,Televisão,3,Mônica,Rotolo,2018-09-06,Belo Horizonte,2500,7500
HL1148,Câmera,5,Alex,Fernandes,2018-09-25,Belo Horizonte,2100,10500
HL1918,iPhone,4,Khaio,Mesquita,2018-11-28,Belo Horizonte,5300,21200
HL9962,Android,1,Pedro,Macckione,2018-08-31,Belo Horizonte,3400,3400
HL1148,Câmera,1,Arthur,Pereira,2018-11-04,Belo Horizonte,2100,2100
HL1918,iPhone,4,Thiago,Veloso,2018-01-09,Belo Horizonte,5300,21200
HL9962,Android,4,Paloma,Sperandei,2018-04-03,Belo Horizonte,3400,13600
HL1918,iPhone,1,Carolina,Silva,2018-08-22,Belo Horizonte,5300,5300
HL8851,Notebook,5,Thainá,Binello,2018-09-18,Belo Horizonte,3500,17500
HL7348,SmartWatch,5,Raphael,Ferman,2018-09-03,Belo Horizonte,1400,7000
HL1148,Câmera,3,Maike,Pereira,2018-02-07,Belo Horizonte,2100,6300
HL8851,Notebook,1,Matheus,Figueiredo,2018-03-13,Belo Horizonte,3500,3500
HL2714,Tablet,4,Ives,Barbosa,2018-01-21,Belo Horizonte,1600,6400
HL7348,SmartWatch,3,Larissa,Jesus,2018-06-22,Belo Horizonte,1400,4200
HL8851,Notebook,3,Eric,Júnior,2018-03-15,Belo Horizonte,3500,10500
HL1918,iPhone,1,Aline,Andrade,2018-02-27,Belo Horizonte,5300,5300
HL1918,iPhone,5,Andressa,Rotsztejn,2018-08-21,Belo Horizonte,5300,26500
HL1918,iPhone,5,Bruno,Mota,2018-04-20,Belo Horizonte,5300,26500
HL7348,SmartWatch,5,Victoria,Mazza,2018-02-23,Belo Horizonte,1400,7000
HL1918,iPhone,3,Bernardo,Soares,2018-12-16,Belo Horizonte,5300,15900
HL1148,Câmera,4,Pedro,Martins,2018-07-20,Belo Horizonte,2100,8400
HL7348,SmartWatch,1,Alon,Pestana,2018-01-07,Belo Horizonte,1400,1400
HL4379,Televisão,2,Raphael,Filho,2018-07-11,Belo Horizonte,2500,5000
HL8851,Notebook,5,Thomáz,Rodriguez,2018-05-19,Belo Horizonte,3500,17500
HL1918,iPhone,2,Bernardo,Nauenberg,2018-10-06,Belo Horizonte,5300,10600
HL4379,Televisão,4,Luiza,Marques,2018-07-01,Belo Horizonte,2500,10000
HL7348,SmartWatch,2,William,Mendonça,2018-11-12,Belo Horizonte,1400,2800
HL8851,Notebook,5,Anízio,Carvalho,2018-01-09,Belo Horizonte,3500,17500
HL7348,SmartWatch,2,Jônatas,Castro,2018-07-04,Belo Horizonte,1400,2800
HL1918,iPhone,1,Pedro,Costa,2018-09-20,Belo Horizonte,5300,5300
HL1918,iPhone,4,Luiz,Mendonça,2018-07-28,Belo Horizonte,5300,21200
HL1918,iPhone,5,Henrique,Oliveira,2018-01-21,Belo Horizonte,5300,26500
HL1918,iPhone,2,Cassio,Faria,2018-12-23,Belo Horizonte,5300,10600
HL1918,iPhone,1,Mateus,Polastri,2018-10-24,Belo Horizonte,5300,5300
HL1918,iPhone,1,Paula,Cavalcanti,2018-06-18,Belo Horizonte,5300,5300
HL7348,SmartWatch,2,David,Vasconcelos,2018-11-04,Belo Horizonte,1400,2800
HL1918,iPhone,2,Fabio,Ramos,2018-04-26,Belo Horizonte,5300,10600
HL1148,Câmera,3,Natali,Rangel,2018-11-23,Belo Horizonte,2100,6300
HL1918,iPhone,2,Marina,Cormack,2018-07-15,Belo Horizonte,5300,10600
HL1918,iPhone,1,Eric,Carvalho,2018-09-20,Belo Horizonte,5300,5300
HL1148,Câmera,4,Bruna,Rangel,2018-06-25,Belo Horizonte,2100,8400
HL2714,Tablet,2,Lucas,Reis,2018-10-29,Belo Horizonte,1600,3200
HL1918,iPhone,3,Luiza,Marques,2018-04-17,Belo Horizonte,5300,15900
HL1918,iPhone,3,Thales,Portillo,2018-10-28,Belo Horizonte,5300,15900
HL1918,iPhone,3,Roger,Rosa,2018-12-24,Belo Horizonte,5300,15900
HL8851,Notebook,1,Stefan,Santos,2018-08-21,Belo Horizonte,3500,3500
HL4379,Televisão,2,Pedro,Costa,2018-04-18,Belo Horizonte,2500,5000
HL1918,iPhone,2,Marina,Perdomo,2018-01-01,Belo Horizonte,5300,10600
HL1918,iPhone,2,Bárbara,Lima,2018-10-08,Belo Horizonte,5300,10600
HL1148,Câmera,3,Luiza,Farias,2018-04-28,Belo Horizonte,2100,6300
HL4379,Televisão,2,Felipe,Paulo,2018-01-10,Belo Horizonte,2500,5000
HL1918,iPhone,5,Luiz,Marinho,2018-02-06,Belo Horizonte,5300,26500
HL9962,Android,3,Pedro,Rodrigues,2018-11-18,Belo Horizonte,3400,10200
HL4379,Televisão,1,Luiz,Xavier,2018-03-06,Belo Horizonte,2500,2500
HL4379,Televisão,2,Leonardo,Faria,2018-12-19,Belo Horizonte,2500,5000
HL8851,Notebook,3,Vivianne,Rodrigues,2018-02-19,Belo Horizonte,3500,10500
HL2714,Tablet,4,Priscila,Vogel,2018-02-27,Belo Horizonte,1600,6400
HL8851,Notebook,1,Laura,Araujo,2018-07-03,Belo Horizonte,3500,3500
HL8851,Notebook,5,Michelle,Pereira,2018-09-02,Belo Horizonte,3500,17500
HL1148,Câmera,5,Leandro,Rodrigues,2018-06-18,Belo Horizonte,2100,10500
HL4379,Televisão,2,Julia,Aliani,2018-05-19,Belo Horizonte,2500,5000
HL8851,Notebook,1,Felipe,Cavalcanti,2018-11-13,Belo Horizonte,3500,3500
HL7348,SmartWatch,2,Livia,Cozendey,2018-08-15,Belo Horizonte,1400,2800
HL1918,iPhone,3,Natália,Appel,2018-09-01,Belo Horizonte,5300,15900
HL1918,iPhone,5,Andressa,Nóbrega,2018-08-09,Belo Horizonte,5300,26500
HL1918,iPhone,4,Joao,Silva,2018-11-24,Belo Horizonte,5300,21200
HL9962,Android,1,José,Carvalho,2018-04-12,Belo Horizonte,3400,3400
HL4379,Televisão,3,Henrique,Lencastre,2018-02-21,Belo Horizonte,2500,7500
HL4379,Televisão,1,Julie,Ferreira,2018-02-25,Belo Horizonte,2500,2500
HL4379,Televisão,3,Lara,Moreira,2018-11-20,Belo Horizonte,2500,7500
HL1918,iPhone,5,Gustavo,Thome,2018-07-06,Belo Horizonte,5300,26500
HL1918,iPhone,2,Luis,Silva,2018-12-04,Belo Horizonte,5300,10600
HL9962,Android,3,Miguel,Carneiro,2018-02-12,Belo Horizonte,3400,10200
HL4379,Televisão,4,Laura,Araujo,2018-01-03,Belo Horizonte,2500,10000
HL1148,Câmera,4,Bárbara,Lima,2018-07-01,Belo Horizonte,2100,8400
HL4379,Televisão,2,Rafael,Carneiro,2018-08-30,Belo Horizonte,2500,5000
HL1918,iPhone,1,Paula,Calbucci,2018-07-07,Belo Horizonte,5300,5300
HL1918,iPhone,2,Pedro,Macckione,2018-07-30,Belo Horizonte,5300,10600
HL8851,Notebook,5,Brenno,Miranda,2018-05-23,Belo Horizonte,3500,17500
HL4379,Televisão,3,Pedro,Macckione,2018-09-30,Belo Horizonte,2500,7500
HL8851,Notebook,4,Wendela,Mariz,2018-07-16,Belo Horizonte,3500,14000
HL8851,Notebook,3,Pedro,Sena,2018-10-05,Belo Horizonte,3500,10500
HL7348,SmartWatch,4,João,Abraçado,2018-06-25,Belo Horizonte,1400,5600
HL1918,iPhone,1,Marcela,Johnson,2018-08-26,Belo Horizonte,5300,5300
HL2714,Tablet,3,Beatriz,Rocha,2018-02-17,Belo Horizonte,1600,4800
HL1918,iPhone,2,Daniel,Nauenberg,2018-01-19,Belo Horizonte,5300,10600
HL4379,Televisão,5,Juliana,Souza,2018-03-31,Belo Horizonte,2500,12500
HL1918,iPhone,4,Thales,Gouvêa,2018-06-04,Belo Horizonte,5300,21200
HL7348,SmartWatch,5,Pedro,Oliveira,2018-11-21,Belo Horizonte,1400,7000
HL7348,SmartWatch,5,Guilherme,Assis,2018-07-21,Belo Horizonte,1400,7000
HL1918,iPhone,4,Eduardo,Nunes,2018-07-10,Belo Horizonte,5300,21200
HL8851,Notebook,1,Gabrielle,Silva,2018-05-20,Belo Horizonte,3500,3500
HL9962,Android,5,Guilherme,Marchesi,2018-05-03,Belo Horizonte,3400,17000
